lat,lon,jobs
53.57855178,-2.53441843,2201
53.57730463,-2.52640777,1037
53.55709363,-2.53578413,267
53.55852240,-2.53515592,490
53.55599827,-2.53366432,1933
53.58321908,-2.37817988,337
53.56701780,-2.42941884,273
53.56799895,-2.42606856,470
53.56934815,-2.41571926,695
53.56293677,-2.41187475,1873
53.57746442,-2.42685649,206
53.57928496,-2.42756186,365
53.57846483,-2.42533689,571
53.57735143,-2.42887550,268
53.57830300,-2.42435693,212
53.57740562,-2.42822832,303
53.57862990,-2.42601105,213
53.57728946,-2.42528834,232
53.57850164,-2.42835043,453
53.57941830,-2.42567282,316
53.57952131,-2.42922919,543
53.58134497,-2.43860092,552
53.58312708,-2.42203127,389
53.58028946,-2.42108751,265
53.58672518,-2.42493747,706
53.57984597,-2.42488334,353
53.58146472,-2.41802520,434
53.58576930,-2.42150362,236
53.58852027,-2.42543645,332
53.57996143,-2.42583401,300
53.58533382,-2.41810230,249
53.59155530,-2.42656786,859
53.58347838,-2.42785025,375
53.58169956,-2.43003512,676
53.58024026,-2.43038324,312
53.58196156,-2.42816416,229
53.58019336,-2.42806259,283
53.55045514,-2.45361965,673
53.54739718,-2.45216242,218
53.57169868,-2.43635477,237
53.57354198,-2.43623761,1013
53.57461113,-2.43706803,956
53.57496580,-2.42912900,448
53.57452220,-2.42785325,324
53.54980099,-2.39504085,264
53.54777044,-2.39702154,492
53.54744690,-2.39878989,239
53.58221376,-2.44328546,522
53.57962940,-2.45449113,641
53.55444676,-2.43018026,4985
53.59925842,-2.54564404,211
53.59797239,-2.54850270,275
53.60035796,-2.54706107,297
53.53972852,-2.39446688,633
53.53577933,-2.36179408,214
53.53863511,-2.39274024,428
53.54916274,-2.52423238,214
53.54828456,-2.52307054,438
53.59266022,-2.31019585,331
53.58988809,-2.31226150,509
53.59376081,-2.30972172,216
53.59365469,-2.26786718,304
53.60074951,-2.32684744,253
53.59805303,-2.29434320,399
53.59974205,-2.29876703,2811
53.60098292,-2.29435723,252
53.59605007,-2.30227529,409
53.55095764,-2.29607727,345
53.55281629,-2.29628787,546
53.54835166,-2.29419641,573
53.55877082,-2.32547417,310
53.64704333,-2.31598350,628
53.59013703,-2.29646417,479
53.59038669,-2.29829907,359
53.58986877,-2.29874943,407
53.58610224,-2.29755987,572
53.59545411,-2.29265253,480
53.59289979,-2.28640946,204
53.59558508,-2.28858801,525
53.59380457,-2.28908806,340
53.58991640,-2.28949449,363
53.59182222,-2.28870204,288
53.59465657,-2.29483507,333
53.59036887,-2.29404328,383
53.59168519,-2.29526411,297
53.59406795,-2.29595152,394
53.59255968,-2.29529190,869
53.59293067,-2.29692531,305
53.59382106,-2.29823444,275
53.59451295,-2.29172867,274
53.59287944,-2.29262553,226
53.59518787,-2.29085682,299
53.59020256,-2.29999035,1240
53.59257894,-2.29859046,498
53.59153347,-2.30031019,320
53.59304902,-2.30546497,276
53.59402143,-2.30106164,259
53.59251398,-2.30014051,234
53.59263233,-2.30346016,205
53.59137240,-2.29879709,276
53.59308225,-2.29865852,294
53.58911743,-2.30648575,426
53.53678147,-2.29145650,1941
53.53447054,-2.28711290,292
53.53305012,-2.28437818,560
53.57285220,-2.29874984,331
53.57255056,-2.30043762,1176
53.57454068,-2.28010519,573
53.57391386,-2.27892744,1051
53.57101895,-2.26836709,245
53.57516652,-2.28202598,187
53.57617811,-2.27514115,731
53.47076644,-2.21426822,1666
53.46955981,-2.21454191,933
53.47038798,-2.20173353,228
53.47355695,-2.21464248,192
53.47243406,-2.22552257,343
53.47286724,-2.22086643,437
53.47157650,-2.22203041,320
53.47047931,-2.21706412,363
53.47330049,-2.22869249,363
53.46962196,-2.22002244,155
53.46984550,-2.22426375,292
53.39144528,-2.29349323,274
53.38717258,-2.29717513,595
53.38995981,-2.29795315,615
53.39326043,-2.29576025,222
53.39175147,-2.29189423,429
53.39671741,-2.29400480,359
53.39698820,-2.29784521,398
53.38886194,-2.29318945,5790
53.39055033,-2.29149989,505
53.42701361,-2.25122328,934
53.42491859,-2.24947480,421
53.48362183,-2.18855905,1076
53.48469910,-2.21060955,343
53.48024936,-2.16818548,403
53.48462246,-2.20269488,769
53.47627001,-2.19512544,364
53.47818251,-2.18537106,515
53.47399872,-2.17458316,307
53.47220020,-2.18155766,521
53.47351517,-2.19767285,298
53.47186831,-2.18762406,854
53.47367235,-2.20065120,389
53.47404864,-2.18410331,208
53.46978848,-2.17618718,513
53.47156841,-2.17676213,467
53.43562325,-2.26487990,767
53.44487106,-2.27846285,477
53.44316674,-2.27614904,235
53.44172318,-2.27680692,252
53.44278972,-2.27886535,671
53.44261817,-2.27637632,276
53.51791436,-2.22948191,3376
53.51455598,-2.24646354,562
53.41696507,-2.23200617,640
53.41790796,-2.23125435,238
53.41614089,-2.23118275,209
53.41154759,-2.22910969,564
53.41100459,-2.22420063,344
53.40806358,-2.22776644,556
53.40980018,-2.22740393,306
53.40774150,-2.22731579,462
53.40924748,-2.22635085,646
53.40802207,-2.22043825,831
53.44580427,-2.21968527,447
53.46209580,-2.17328376,375
53.51279804,-2.21229563,672
53.50256510,-2.20246224,1196
53.51192852,-2.20185947,358
53.46156839,-2.19979292,413
53.45950316,-2.19621637,472
53.45584300,-2.19942871,289
53.45749081,-2.19946240,358
53.45777363,-2.20114837,307
53.45690320,-2.20078876,257
53.50386690,-2.17931469,244
53.50125801,-2.18065411,394
53.50511521,-2.18477801,347
53.49465079,-2.20756641,205
53.49641956,-2.20104476,293
53.49408001,-2.20181273,549
53.49871440,-2.19938542,177
53.49807099,-2.20227530,631
53.49287596,-2.20491373,372
53.40160820,-2.25381617,420
53.40085809,-2.25609680,643
53.40074900,-2.25157541,292
53.39857773,-2.26621807,556
53.42978028,-2.23004859,2654
53.45406310,-2.22436524,227
53.45465120,-2.22615005,233
53.45551237,-2.22233300,381
53.36745321,-2.26517843,983
53.36409346,-2.23968827,574
53.36494957,-2.24024644,951
53.36240059,-2.28922295,296
53.35915408,-2.28195516,2906
53.36191146,-2.27083726,6444
53.36529238,-2.27415087,375
53.36141326,-2.27329955,1372
53.36406079,-2.29080505,453
53.36242685,-2.27319516,310
53.36706871,-2.27994848,1001
53.36199651,-2.29163617,410
53.34911171,-2.27774195,240
53.36203004,-2.28560425,574
53.36025709,-2.28778134,451
53.36511059,-2.27334048,810
53.54439644,-2.13997333,244
53.54182732,-2.14066030,381
53.54164278,-2.13784179,490
53.54055027,-2.17225490,235
53.53624385,-2.15635492,250
53.52893241,-2.17321355,406
53.53449376,-2.17385986,700
53.53441800,-2.16691943,233
53.53425313,-2.17859332,955
53.53281297,-2.15423541,216
53.53024898,-2.15850966,735
53.54547494,-2.14203936,429
53.54640415,-2.13975293,468
53.53219028,-2.16579957,1176
53.53210121,-2.16901751,122
53.52014334,-2.15251686,515
53.52085602,-2.15007294,751
53.54216433,-2.11453571,338
53.54304425,-2.11395927,372
53.54235803,-2.11721814,869
53.54269505,-2.11566014,350
53.54376593,-2.11685743,517
53.54265926,-2.11995710,1766
53.54149923,-2.13210185,396
53.55328100,-2.12182761,3111
53.54816729,-2.13014327,559
53.54909695,-2.12674469,251
53.54726554,-2.13103197,220
53.51312361,-2.15514400,279
53.51121699,-2.15661147,387
53.50475989,-2.17497706,327
53.50817476,-2.15995247,453
53.51973012,-2.14519195,697
53.51442431,-2.13801839,291
53.53967011,-2.07175166,233
53.56242583,-2.12033847,315
53.56042682,-2.10533838,922
53.55936426,-2.10174759,608
