code,name,easting,northing,latitude,longitude
E01005756,Stockport 004D,391223,392954,53.43329,-2.13357
E01005757,Stockport 014A,390660,391186,53.41739,-2.14199
E01005754,Stockport 004B,390870,392662,53.43066,-2.13888
E01005755,Stockport 004C,391140,391965,53.4244,-2.13479
E01005752,Stockport 012A,393251,391229,53.41782,-2.103
E01005753,Stockport 004A,391339,392429,53.42858,-2.13181
E01005750,Stockport 009D,391543,391243,53.41792,-2.12871
E01005751,Stockport 009E,392458,391480,53.42006,-2.11495
E01005758,Stockport 014B,389815,390030,53.40699,-2.15466
E01005759,Stockport 023A,389192,388503,53.39324,-2.16399
E01006026,Tameside 022B,395829,395129,53.4529,-2.06428
E01006027,Tameside 027B,397528,394629,53.44842,-2.03869
E01006024,Tameside 022A,396277,394999,53.45173,-2.05753
E01006025,Tameside 027A,398051,394921,53.45104,-2.03081
E01006028,Tameside 028A,395469,394822,53.45014,-2.0697
E01006029,Tameside 028B,395261,394691,53.44896,-2.07283
E01005849,Stockport 036C,384832,385659,53.36758,-2.22942
E01005237,Manchester 022E,386682,395216,53.45353,-2.20201
E01005234,Manchester 027E,386948,395260,53.45393,-2.19801
E01005238,Manchester 027F,386893,394858,53.45032,-2.19882
E01005836,Stockport 031B,392618,387240,53.38196,-2.11245
E01005837,Stockport 021D,393011,387858,53.38752,-2.10655
E01005834,Stockport 031A,392342,387617,53.38534,-2.11659
E01005832,Stockport 021A,391775,389251,53.40002,-2.12517
E01005833,Stockport 021B,392285,389077,53.39846,-2.11749
E01005830,Stockport 027E,391016,388325,53.39168,-2.13655
E01005831,Stockport 027F,391323,388054,53.38926,-2.13193
E01005838,Stockport 031C,391965,387206,53.38164,-2.12226
E01005839,Stockport 035C,393151,386758,53.37763,-2.10441
E01005196,Manchester 023B,388759,395182,53.45327,-2.17074
E01005194,Manchester 027A,387513,394865,53.45039,-2.18949
E01005118,Manchester 034A,386518,393073,53.43426,-2.2044
E01005199,Manchester 027B,387682,394627,53.44826,-2.18694
E01005119,Manchester 041A,386589,392144,53.42591,-2.20328
E01005076,Manchester 039A,384140,392098,53.42543,-2.24014
E01005078,Manchester 042B,383712,391524,53.42026,-2.24655
E01005216,Manchester 034D,387406,393624,53.43924,-2.19104
E01005217,Manchester 034E,386732,393501,53.43811,-2.20119
E01005215,Manchester 034C,387997,393326,53.43657,-2.18215
E01005218,Manchester 034F,386780,393911,53.44181,-2.20049
E01005219,Manchester 031A,387107,394283,53.44515,-2.19558
E01005797,Stockport 023C,390044,388627,53.39438,-2.15118
E01005796,Stockport 039E,387947,386578,53.37592,-2.18264
E01005795,Stockport 039D,387627,384687,53.35891,-2.18737
E01005794,Stockport 041B,387965,384912,53.36095,-2.1823
E01005793,Stockport 039C,387107,384933,53.36111,-2.19519
E01005792,Stockport 041A,388045,385445,53.36574,-2.18112
E01005791,Stockport 039B,387443,385357,53.36493,-2.19016
E01005790,Stockport 034D,386366,385998,53.37066,-2.20638
E01005799,Stockport 026D,389137,387904,53.38786,-2.1648
E01005798,Stockport 027A,390042,388151,53.3901,-2.15119
E01033671,Manchester 039F,383927,392347,53.42766,-2.24336
E01005312,Manchester 036E,385773,393378,53.43699,-2.21562
E01005310,Manchester 036C,386041,393683,53.43974,-2.2116
E01005311,Manchester 036D,386078,393261,53.43594,-2.21102
E01005276,Manchester 038C,384604,392713,53.43098,-2.23319
E01005277,Manchester 038D,384631,392186,53.42624,-2.23275
E01005274,Manchester 038A,384503,393036,53.43388,-2.23473
E01005275,Manchester 038B,384298,392578,53.42975,-2.23779
E01005272,Manchester 035B,383964,393068,53.43415,-2.24283
E01005273,Manchester 035C,384901,393296,53.43622,-2.22875
E01005270,Manchester 035A,384376,393420,53.43733,-2.23665
E01005271,Manchester 032C,385251,393632,53.43925,-2.2235
E01005278,Manchester 035D,384694,393692,53.43978,-2.23188
E01005279,Manchester 035E,383928,393610,53.43902,-2.24341
E01005776,Stockport 028E,385443,387593,53.38498,-2.22032
E01005777,Stockport 034A,386481,386578,53.37588,-2.20467
E01005774,Stockport 028D,386116,388315,53.39148,-2.21024
E01005775,Stockport 025D,384056,388153,53.38997,-2.2412
E01005772,Stockport 028B,384874,388016,53.38877,-2.22889
E01005773,Stockport 028C,385623,388234,53.39075,-2.21765
E01005770,Stockport 025B,384068,388579,53.3938,-2.24104
E01005771,Stockport 025C,384547,388694,53.39485,-2.23385
E01005778,Stockport 022B,386983,388780,53.39569,-2.19722
E01005779,Stockport 022C,386802,388505,53.39321,-2.19993
E01006046,Tameside 030E,395130,393483,53.4381,-2.07478
E01006044,Tameside 030C,394641,393602,53.43917,-2.08213
E01006045,Tameside 030D,395619,393127,53.4349,-2.06742
E01006042,Tameside 030A,395499,393605,53.4392,-2.06922
E01006043,Tameside 030B,394815,394013,53.44286,-2.07953
E01006040,Tameside 028E,394660,394769,53.44966,-2.08187
E01006041,Tameside 028F,395092,394338,53.44579,-2.07536
E01005906,Stockport 038B,395780,385102,53.36277,-2.06488
E01005987,Tameside 024B,390445,394696,53.44894,-2.14534
E01005907,Stockport 038C,395441,385392,53.36538,-2.06998
E01005986,Tameside 025B,392230,395034,53.45201,-2.11846
E01005904,Stockport 010E,394448,391040,53.41614,-2.085
E01005985,Tameside 024A,390770,395108,53.45265,-2.14045
E01005905,Stockport 012E,392842,391183,53.4174,-2.10916
E01005984,Tameside 029F,393096,393509,53.43831,-2.10539
E01005902,Stockport 012D,392988,390713,53.41318,-2.10696
E01005983,Tameside 029E,393504,393608,53.43921,-2.09926
E01005903,Stockport 010D,394693,391357,53.41899,-2.08132
E01005982,Tameside 029D,392340,394176,53.44429,-2.11679
E01005900,Stockport 010C,394067,390859,53.4145,-2.09073
E01005981,Tameside 029C,392852,394454,53.4468,-2.10909
E01005901,Stockport 012C,393105,390144,53.40807,-2.10519
E01005980,Tameside 029B,393144,394361,53.44597,-2.10469
E01005908,Stockport 017D,397778,388640,53.39458,-2.03488
E01005989,Tameside 025C,391901,394567,53.44781,-2.12341
E01005909,Stockport 029A,396360,388161,53.39028,-2.0562
E01005988,Tameside 024C,390018,395198,53.45344,-2.15178
E01005866,Stockport 006C,388301,392340,53.42772,-2.17753
E01005867,Stockport 008C,387288,391405,53.41929,-2.19274
E01005864,Stockport 006B,387839,392016,53.42479,-2.18447
E01005865,Stockport 008B,387452,391914,53.42387,-2.19029
E01005862,Stockport 003A,388789,392417,53.42842,-2.17019
E01005863,Stockport 006A,388481,391875,53.42354,-2.1748
E01005860,Stockport 011C,388246,391296,53.41833,-2.17831
E01005861,Stockport 011D,388401,390975,53.41545,-2.17598
E01005868,Stockport 008D,386566,391584,53.42088,-2.20361
E01005869,Stockport 006D,388271,392800,53.43185,-2.178
E01005846,Stockport 040A,385746,386054,53.37115,-2.21569
E01005847,Stockport 040B,385242,385490,53.36607,-2.22325
E01005844,Stockport 036A,385159,386190,53.37236,-2.22452
E01005845,Stockport 036B,384699,386148,53.37197,-2.23143
E01005842,Stockport 038A,392957,385718,53.36828,-2.10731
E01005843,Stockport 021E,392938,388379,53.39219,-2.10765
E01005840,Stockport 031D,391728,387126,53.38092,-2.12582
E01005841,Stockport 035D,392867,386178,53.37242,-2.10867
E01005848,Stockport 040C,385685,385479,53.36598,-2.21659
E01005976,Tameside 026B,393067,395180,53.45333,-2.10587
E01005977,Tameside 026C,393078,394833,53.45022,-2.10569
