wz,jobs,lat,lon
E33002268,2201,53.57855178,-2.53441843
E33002269,1037,53.57730463,-2.52640777
E33002270,267,53.55709363,-2.53578413
E33002271,490,53.55852240,-2.53515592
E33002272,1933,53.55599827,-2.53366432
E33002273,337,53.58321908,-2.37817988
E33002274,273,53.56701780,-2.42941884
E33002275,470,53.56799895,-2.42606856
E33002276,695,53.56934815,-2.41571926
E33002277,1873,53.56293677,-2.41187475
E33002278,206,53.57746442,-2.42685649
E33002279,365,53.57928496,-2.42756186
E33002280,571,53.57846483,-2.42533689
E33002281,268,53.57735143,-2.42887550
E33002282,212,53.57830300,-2.42435693
E33002283,303,53.57740562,-2.42822832
E33002284,213,53.57862990,-2.42601105
E33002285,232,53.57728946,-2.42528834
E33002286,453,53.57850164,-2.42835043
E33002287,316,53.57941830,-2.42567282
E33002288,543,53.57952131,-2.42922919
E33002289,552,53.58134497,-2.43860092
E33002290,389,53.58312708,-2.42203127
E33002291,265,53.58028946,-2.42108751
E33002292,706,53.58672518,-2.42493747
E33002293,353,53.57984597,-2.42488334
E33002294,434,53.58146472,-2.41802520
E33002295,236,53.58576930,-2.42150362
E33002296,332,53.58852027,-2.42543645
E33002297,300,53.57996143,-2.42583401
E33002298,249,53.58533382,-2.41810230
E33002299,859,53.59155530,-2.42656786
E33002300,375,53.58347838,-2.42785025
E33002301,676,53.58169956,-2.43003512
E33002302,312,53.58024026,-2.43038324
E33002303,229,53.58196156,-2.42816416
E33002304,283,53.58019336,-2.42806259
E33002305,673,53.55045514,-2.45361965
E33002306,218,53.54739718,-2.45216242
E33002307,237,53.57169868,-2.43635477
E33002308,1013,53.57354198,-2.43623761
E33002309,956,53.57461113,-2.43706803
E33002310,448,53.57496580,-2.42912900
E33002311,324,53.57452220,-2.42785325
E33002312,264,53.54980099,-2.39504085
E33002313,492,53.54777044,-2.39702154
E33002314,239,53.54744690,-2.39878989
E33002315,522,53.58221376,-2.44328546
E33002316,641,53.57962940,-2.45449113
E33002317,4985,53.55444676,-2.43018026
E33002318,211,53.59925842,-2.54564404
E33002319,275,53.59797239,-2.54850270
E33002320,297,53.60035796,-2.54706107
E33002321,633,53.53972852,-2.39446688
E33002322,214,53.53577933,-2.36179408
E33002323,428,53.53863511,-2.39274024
E33002324,214,53.54916274,-2.52423238
E33002325,438,53.54828456,-2.52307054
E33002326,331,53.59266022,-2.31019585
E33002327,509,53.58988809,-2.31226150
E33002328,216,53.59376081,-2.30972172
E33002329,304,53.59365469,-2.26786718
E33002330,253,53.60074951,-2.32684744
E33002331,399,53.59805303,-2.29434320
E33002332,2811,53.59974205,-2.29876703
E33002333,252,53.60098292,-2.29435723
E33002334,409,53.59605007,-2.30227529
E33002335,345,53.55095764,-2.29607727
E33002336,546,53.55281629,-2.29628787
E33002337,573,53.54835166,-2.29419641
E33002338,310,53.55877082,-2.32547417
E33002339,628,53.64704333,-2.31598350
E33002340,479,53.59013703,-2.29646417
E33002341,359,53.59038669,-2.29829907
E33002342,407,53.58986877,-2.29874943
E33002343,572,53.58610224,-2.29755987
E33002344,480,53.59545411,-2.29265253
E33002345,204,53.59289979,-2.28640946
E33002346,525,53.59558508,-2.28858801
E33002347,340,53.59380457,-2.28908806
E33002348,363,53.58991640,-2.28949449
E33002349,288,53.59182222,-2.28870204
E33002350,333,53.59465657,-2.29483507
E33002351,383,53.59036887,-2.29404328
E33002352,297,53.59168519,-2.29526411
E33002353,394,53.59406795,-2.29595152
E33002354,869,53.59255968,-2.29529190
E33002355,305,53.59293067,-2.29692531
E33002356,275,53.59382106,-2.29823444
E33002357,274,53.59451295,-2.29172867
E33002358,226,53.59287944,-2.29262553
E33002359,299,53.59518787,-2.29085682
E33002360,1240,53.59020256,-2.29999035
E33002361,498,53.59257894,-2.29859046
E33002362,320,53.59153347,-2.30031019
E33002363,276,53.59304902,-2.30546497
E33002364,259,53.59402143,-2.30106164
E33002365,234,53.59251398,-2.30014051
E33002366,205,53.59263233,-2.30346016
E33002367,276,53.59137240,-2.29879709
E33002368,294,53.59308225,-2.29865852
E33002369,426,53.58911743,-2.30648575
E33002370,1941,53.53678147,-2.29145650
E33002371,292,53.53447054,-2.28711290
E33002372,560,53.53305012,-2.28437818
E33002373,331,53.57285220,-2.29874984
E33002374,1176,53.57255056,-2.30043762
E33002375,573,53.57454068,-2.28010519
E33002376,1051,53.57391386,-2.27892744
E33002377,245,53.57101895,-2.26836709
E33002378,187,53.57516652,-2.28202598
E33002379,731,53.57617811,-2.27514115
E33002380,1666,53.47076644,-2.21426822
E33002381,933,53.46955981,-2.21454191
E33002382,228,53.47038798,-2.20173353
E33002383,192,53.47355695,-2.21464248
E33002384,343,53.47243406,-2.22552257
E33002385,437,53.47286724,-2.22086643
E33002386,320,53.47157650,-2.22203041
E33002387,363,53.47047931,-2.21706412
E33002388,363,53.47330049,-2.22869249
E33002389,155,53.46962196,-2.22002244
E33002390,292,53.46984550,-2.22426375
E33002391,274,53.39144528,-2.29349323
E33002392,595,53.38717258,-2.29717513
E33002393,615,53.38995981,-2.29795315
E33002394,222,53.39326043,-2.29576025
E33002395,429,53.39175147,-2.29189423
E33002396,359,53.39671741,-2.29400480
E33002397,398,53.39698820,-2.29784521
E33002398,5790,53.38886194,-2.29318945
E33002399,505,53.39055033,-2.29149989
E33002400,934,53.42701361,-2.25122328
E33002401,421,53.42491859,-2.24947480
E33002402,1076,53.48362183,-2.18855905
E33002403,343,53.48469910,-2.21060955
E33002404,403,53.48024936,-2.16818548
E33002405,769,53.48462246,-2.20269488
E33002406,364,53.47627001,-2.19512544
E33002407,515,53.47818251,-2.18537106
E33002408,307,53.47399872,-2.17458316
E33002409,521,53.47220020,-2.18155766
E33002410,298,53.47351517,-2.19767285
E33002411,854,53.47186831,-2.18762406
E33002412,389,53.47367235,-2.20065120
